animal,bodymass,vt,direction
F296,136,3.82,1
F306,136,3.58,1
F296,101,2.74,1
F306,101,2.32,1
FB209,154,7.1,1
FB255,81,5,1
FB33,195,4.68,1
FB259,100,4.89,1
FB292,124,4.59,1
FB294,95,3.7,1
FB223,160,5.1,1
FB178,248,6.24,1
FB188,229,5.7,1
FB209,154,5.81,1
FB255,81,2.75,1
FB33,195,5.72,1
FB259,100,2.36,1
FB292,124,3.19,1
FB294,95,3.69,1
FB223,160,3.81,1
FB178,248,5.38,1
FB188,229,4.74,1
FB251,146,3.95,1
FB245,110,4.95,1
FB133,165,5.12,1
FB199,142,4.07,1
FB193,155,NA,1
FB146,266,3.63,1
FB254,250,5.52,1
FB251,146,NA,1
FB245,110,4.24,1
FB133,165,4.8,1
FB199,142,4.43,1
FB257,73,4.93,1
FB193,155,6.24,1
FB146,266,6.74,1
FB254,250,7.62,1
FB196,248,5.99,1
FB268,227,4.6,1
FB276,291,4.61,1
FB142,256,5.27,1
FB237,192,8.51,1
FB239,117,NA,1
FB197,167,6.98,1
FB241,157,NA,1
FB175,170,4.2,1
FB133,167,6.36,1
FB242,276,10.44,1
FB164,291,7.72,1
FB185,172,4.73,1
FB196,248,6.5,1
FB268,227,NA,1
FB276,291,9.39,1
FB142,256,6.06,1
FB237,192,4.1,1
FB239,117,2.49,1
FB197,167,NA,1
FB241,157,8.08,1
FB175,170,NA,1
FB133,167,4.63,1
FB242,276,9.53,1
FB164,291,5.51,1
FB185,172,3.88,1
F296,136,4.85,2
F306,136,4.59,2
F296,101,3.73,2
F306,101,3.23,2
FB209,154,7.98,2
FB255,81,5.49,2
FB33,195,5.81,2
FB259,100,5.54,2
FB292,124,5.08,2
FB294,95,4.49,2
FB223,160,7.42,2
FB178,248,7.08,2
FB188,229,6.77,2
FB209,154,7.5,2
FB255,81,3.36,2
FB33,195,7.4,2
FB259,100,4.17,2
FB292,124,4.63,2
FB294,95,4.6,2
FB223,160,5.69,2
FB178,248,6.68,2
FB188,229,6.45,2
FB251,146,5.6,2
FB245,110,5.49,2
FB133,165,6.71,2
FB199,142,6.02,2
FB193,155,NA,2
FB146,266,4.93,2
FB254,250,7.14,2
FB251,146,NA,2
FB245,110,4.109999999999999,2
FB133,165,6.04,2
FB199,142,5.29,2
FB257,73,6.46,2
FB193,155,6.8,2
FB146,266,8.93,2
FB254,250,8.52,2
FB196,248,6.99,2
FB268,227,5.6,2
FB276,291,5.61,2
FB142,256,6.27,2
FB237,192,9.51,2
FB239,117,NA,2
FB197,167,7.98,2
FB241,157,NA,2
FB175,170,5.2,2
FB133,167,7.36,2
FB242,276,11.44,2
FB164,291,8.719999999999999,2
FB185,172,5.73,2
FB196,248,7.5,2
FB268,227,NA,2
FB276,291,10.39,2
FB142,256,7.06,2
FB237,192,5.1,2
FB239,117,3.49,2
FB197,167,NA,2
FB241,157,9.08,2
FB175,170,NA,2
FB133,167,5.63,2
FB242,276,10.53,2
FB164,291,6.51,2
FB185,172,4.88,2
